,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-06-19,5.499419799464441,3.2179966848757493,3.835666554439775,3.279565357261722,3.1605436716412685,4.162826964764647,3.5019507430472694,3.7249959677126383,3.1878023804991975,2.9799085401712126,4.308706996347308,3.9496343826782234
2018-06-20,5.501124484787032,3.2147428451781637,3.848000464431174,3.283971494198539,3.1579813721865806,4.163509605844045,3.5040484570564026,3.7259746641589215,3.1985381148656047,2.980704937125013,4.310826160726851,3.9543647673682036
2018-06-21,5.494836229137783,3.2040514425656754,3.8418526068217314,3.2652813236701905,3.15504473573326,4.1508755300003966,3.4963349604197287,3.727929188190022,3.2044877618985788,2.984083844567143,4.305047668114643,3.947215880477848
2018-06-22,5.496657175439958,3.2185095468591,3.846219524409817,3.285036421834274,3.150253537041672,4.1543245767183254,3.493091509641076,3.736097272478641,3.213191594116065,2.9910045282910005,4.309532048306062,3.945510772674663
2018-06-25,5.482951197011213,3.202836859581324,3.8254062815541503,3.264738487403369,3.139482892312172,4.141573236167585,3.472110523998109,3.741120408956212,3.2107126374249932,3.0074205951789765,4.300305092844168,3.9235318413621085
2018-06-26,5.485162824224066,3.2066487441823073,3.827063189096371,3.2772882416820037,3.1361163984851417,4.145332239947002,3.4761406506248287,3.7368716649702693,3.215973285886016,3.0085831723497254,4.297210562690777,3.9306686616319158
2018-06-27,5.476843991617132,3.2035310322903308,3.818303136032177,3.2906095250663507,3.123675212425411,4.13723966272009,3.4623993968805458,3.7347407320435355,3.213191594116065,3.0134117329422945,4.2887112005673345,3.917637782482362
2018-06-28,5.482545407153398,3.2073398908392177,3.828233306480674,3.289285609946182,3.132362509416593,4.138639522913999,3.474559356809536,3.7347407320435355,3.2230470296669127,3.0130262861812565,4.290032835657234,3.925458497199445
2018-06-29,5.483984341996546,3.2107900152430724,3.8270226553937543,3.2954936963020613,3.132362509416593,4.140735736826964,3.4741273811239357,3.734158481271641,3.225495710696591,3.014566901847033,4.292071705438786,3.927198336815453
2018-07-02,5.486119647469532,3.2054373909783203,3.833261996322159,3.2806352001267314,3.137239740034623,4.142967289550332,3.4830126450968693,3.728319818352958,3.2196703394801256,3.0216626868260885,4.295182154101174,3.928569467116221
2018-07-03,5.482582402012164,3.2037045582958075,3.8209474003052013,3.2868975523399953,3.1282170571585093,4.139757868198247,3.4710999751315037,3.7306592112686436,3.225495710696591,3.0245248985498567,4.297568432270442,3.9235318413621085
2018-07-05,5.4907070622291565,3.2123386194266037,3.836067013260276,3.2858344631777636,3.1304805172773627,4.144637616571527,3.485150655376138,3.74439163208452,3.238555925557889,3.029845934868859,4.30788208477319,3.9284782870057593
2018-07-06,5.499129868527878,3.217312790611852,3.851749707960336,3.2919317606713956,3.135366995976046,4.148107966978345,3.496756988438781,3.74746009317082,3.2427715367953875,3.037587120728726,4.322168205186613,3.936305705271482
2018-07-09,5.50809383798531,3.2261697920306256,3.8574456926371816,3.3067547580596295,3.1579813721865806,4.1665073006084965,3.5043276671483232,3.743622772526863,3.233412897265394,3.0062567592182514,4.329465957617142,3.9482017906277207
2018-07-10,5.511685942116872,3.2346129319924057,3.857034521675822,3.31414910546548,3.154308983017102,4.169631670290334,3.50669895487578,3.75547073702229,3.238254033139055,3.015721111796485,4.333267502585206,3.9503498731052105
2018-07-11,5.504344375851696,3.2176546816269744,3.8556814288703753,3.2927241786246246,3.1495142494232504,4.153084114810797,3.5027903567731715,3.7522359725066137,3.2352310614179625,3.0247155761043136,4.325302351331457,3.948022820618775
2018-07-12,5.513369555078232,3.2200461755072394,3.871255050992296,3.294439499014832,3.1513610365904454,4.1647374474272185,3.5184731317337503,3.750901253289392,3.2376502742464095,3.0254771823708886,4.33636730745679,3.95463180597961
2018-07-13,5.514156780624428,3.2195343299299717,3.8697085099971655,3.2996987738225254,3.1469233320478867,4.169902883594184,3.517370506656131,3.7573687732415317,3.234322392556732,3.0256677710047835,4.338199771313315,3.956854845270058
2018-07-16,5.513262239226039,3.211478767737984,3.866802382962642,3.288092009228221,3.1645576837195577,4.165826821894476,3.515024419253601,3.7526174923967908,3.228853273696611,3.0247155761043136,4.332117217780197,3.9593383742414923
2018-07-17,5.517299255007123,3.2244722419950063,3.866996414339425,3.2841045203020522,3.165649543244005,4.1697672861368416,3.522458001563937,3.7611536285347444,3.222127292756272,3.0239532966378206,4.3376274745278325,3.960312701424822
2018-07-18,5.519400630423003,3.2150859221483836,3.864082383402266,3.284769742653388,3.181528697253747,4.180691887279154,3.5208110387045246,3.7529981512292254,3.2184394809047214,3.0187922593254513,4.338428120189544,3.959692910528953
2018-07-19,5.5156219437338425,3.218680111747911,3.857053705892017,3.285036421834274,3.1663770826690967,4.180289406498885,3.5172328336022436,3.75356935959005,3.22793871275358,3.0279490508267672,4.332807587501138,3.957387523493744
2018-07-20,5.5144783443848056,3.214571224233245,3.8537172985314005,3.281570625454979,3.168192856375237,4.179214864549712,3.517508953120615,3.7596413516869918,3.2190550995690157,3.0208977967654427,4.330849982910228,3.9529389408483167
2018-07-23,5.516336236821059,3.2090663639141797,3.857837525788943,3.2771542337024986,3.1818866836258195,4.173016796219436,3.5225955202793977,3.7533789334470584,3.21628190264582,3.013796750211,4.332922886605524,3.951868473496924
2018-07-24,5.521355565633208,3.221921262158592,3.864860475598758,3.2896825918368933,3.184745891444596,4.177198209955435,3.528066034236844,3.755280940363364,3.2135011471197834,3.017257771217366,4.341968420340641,3.9489186005491392
2018-07-25,5.529841897859447,3.2297242079809525,3.872027504899941,3.2979923882826796,3.186885161798639,4.192294147353367,3.5405353051883335,3.7628522882982587,3.223353395434101,3.0201326934745327,4.354653822608949,3.9562328338545854
2018-07-26,5.527479998243942,3.235453128316847,3.8335828833199517,3.308835997770702,3.1865287242603855,4.1999549474777895,3.5250607758896755,3.7681186105015807,3.2267179956062697,3.0307931674031705,4.351836366505755,3.9509754066678435
