,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-06-19,244.5500030517578,24.978031158447266,46.32429504394531,26.564224243164062,23.58341407775879,64.2529067993164,33.18011474609375,41.471065521240234,24.235109329223633,19.686016082763672,74.34429931640625,51.9163818359375
2018-06-20,244.9672393798828,24.896888732910156,46.899192810058594,26.681528091430664,23.52306365966797,64.29678344726562,33.24979019165039,41.51167297363281,24.496692657470703,19.70170021057129,74.50201416015625,52.16254806518555
2018-06-21,243.43165588378906,24.632123947143555,46.61174774169922,26.187477111816406,23.454086303710938,63.48956298828125,32.99430465698242,41.59288787841797,24.642873764038086,19.768383026123047,74.07274627685547,51.79097366333008
2018-06-22,243.87533569335938,24.9908447265625,46.81574249267578,26.709957122802734,23.341981887817383,63.708919525146484,32.8874626159668,41.93401336669922,24.85829734802246,19.905668258666992,74.4056625366211,51.70273971557617
2018-06-25,240.5555877685547,24.602224349975586,45.85142517089844,26.17326545715332,23.091922760009766,62.901702880859375,32.20463943481445,42.14518356323242,24.796751022338867,20.235137939453125,73.72228240966797,50.578765869140625
2018-06-26,241.08819580078125,24.696184158325195,45.927459716796875,26.503803253173828,23.014314651489258,63.13859558105469,32.33469009399414,41.96649932861328,24.927541732788086,20.258676528930664,73.49449920654297,50.9410285949707
2018-06-27,239.0909423828125,24.619308471679688,45.52688980102539,26.859230041503906,22.72976303100586,62.629703521728516,31.893409729003906,41.877166748046875,24.85829734802246,20.356733322143555,72.87248992919922,50.28152847290039
2018-06-28,240.45799255371094,24.713258743286133,45.981231689453125,26.823694229125977,22.928083419799805,62.717437744140625,32.283599853515625,41.877166748046875,25.1044979095459,20.348888397216797,72.96886444091797,50.676307678222656
2018-06-29,240.8042449951172,24.798669815063477,45.92559814453125,26.99073600769043,22.928083419799805,62.84904479980469,32.269657135009766,41.85279083251953,25.166046142578125,20.38026237487793,73.11779022216797,50.76455307006836
2018-07-02,241.31898498535156,24.66628646850586,46.21303939819336,26.59265899658203,23.04018211364746,62.98945236206055,32.55765914916992,41.60913848876953,25.01987075805664,20.525390625,73.34557342529297,50.834205627441406
2018-07-03,240.46688842773438,24.623580932617188,45.64743423461914,26.759714126586914,22.833232879638672,62.78761672973633,32.17211151123047,41.70659255981445,25.166046142578125,20.5842227935791,73.52080535888672,50.578765869140625
2018-07-05,242.42855834960938,24.83710289001465,46.34284973144531,26.731281280517578,22.884973526000977,63.09475326538086,32.627342224121094,42.28327560424805,25.496875762939453,20.69404411315918,74.28299713134766,50.82957077026367
2018-07-06,244.47911071777344,24.960954666137695,47.07535934448242,26.89476776123047,22.997074127197266,63.31409454345703,33.00823211669922,42.4132194519043,25.60458755493164,20.854862213134766,75.3518295288086,51.22899627685547
2018-07-09,246.6804656982422,25.183015823364258,47.34426498413086,27.296398162841797,23.52306365966797,64.48981475830078,33.25907516479492,42.25077819824219,25.36608123779297,20.21160125732422,75.90373992919922,51.84206008911133
2018-07-10,247.5681610107422,25.39653968811035,47.32480239868164,27.498985290527344,23.43683624267578,64.69161987304688,33.338035583496094,42.75434112548828,25.489179611206055,20.403799057006836,76.19284057617188,51.95354080200195
2018-07-11,245.7572784423828,24.96949005126953,47.26081085205078,26.916088104248047,23.324731826782227,63.629940032958984,33.207984924316406,42.61626434326172,25.412242889404297,20.58814811706543,75.58836364746094,51.83278274536133
2018-07-12,247.98532104492188,25.02927589416504,48.002593994140625,26.962297439575195,23.367847442626953,64.37577819824219,33.73288345336914,42.55942153930664,25.47379493713379,20.60383415222168,76.42938995361328,52.17647933959961
2018-07-13,248.1806182861328,25.016468048095703,47.92841339111328,27.104473114013672,23.26437759399414,64.70916748046875,33.695709228515625,42.835567474365234,25.389162063598633,20.60776138305664,76.56957244873047,52.292598724365234
