,AAPL,ABBV,ABT,ADBE,AMAT,AMD,AMT,AMZN,APD,AVGO,AXP,BA,BAC,BLK,BMY,C,CAT,CMCSA,COP,COST,CRM,CSCO,CSX,CVS,CVX,DE,DHR,DIA,DIS,DUK,EOG,FCX,FDX,GE,GLD,GOOG,GS,HD,HON,IBM,INTC,IWM,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MCD,META,MMM,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,NXPI,ORCL,PEP,PFE,PG,PLD,PNC,PSX,PYPL,QCOM,QQQ,SBUX,SCHW,SHOP,SLB,SO,SPG,SPY,T,TFC,TGT,TLT,TMO,TSLA,TXN,UBER,UNH,UNP,UPS,USB,VNQ,VZ,WFC,WMT,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM,ZM
2018-01-02,40.26707458496094,68.77316284179688,50.50608444213867,177.6999969482422,48.3141975402832,10.979999542236328,113.83444213867188,59.45050048828125,135.39251708984375,21.0866641998291,88.29239654541016,282.88641357421875,24.637495040893555,414.357177734375,45.08621597290039,56.31321334838867,131.29393005371094,30.820602416992188,42.04246520996094,168.25401306152344,102.89927673339844,30.26953125,16.81110382080078,56.00662612915039,88.6405029296875,139.837646484375,78.7856216430664,211.7828826904297,106.22452545166016,58.98847198486328,80.42457580566406,17.848779678344727,223.6631317138672,81.05406951904297,125.1500015258789,52.816375732421875,213.1442108154297,153.79287719726562,116.44694519042969,102.65727233886719,39.330387115478516,138.88438415527344,110.7641830444336,85.90128326416016,93.59058380126953,35.25034713745117,137.27230834960938,74.89777374267578,255.92576599121094,78.32249450683594,16.871244430541992,142.7815399169922,180.0074005126953,147.4598388671875,51.82368469238281,41.59349822998047,40.62142562866211,78.69988250732422,42.590789794921875,31.56359100341797,20.10700035095215,56.92671585083008,26.34600067138672,4.928265571594238,104.27535247802734,41.107627868652344,91.6028060913086,23.443439483642578,72.28069305419922,50.861427307128906,107.95270538330078,73.30451202392578,73.44731140136719,52.61402130126953,150.22213745117188,47.810089111328125,45.83592987060547,10.548999786376953,54.93654251098633,33.41262435913086,110.56611633300781,236.5621337890625,15.921093940734863,34.75521469116211,53.06266403198242,99.09391021728516,188.75540161132812,21.368667602539062,83.38343811035156,,193.09043884277344,113.27184295654297,88.35177612304688,39.01634216308594,60.17097091674805,33.71295928955078,48.376747131347656,28.80023956298828,25.747264862060547,23.884132385253906,66.25485229492188,29.8729190826416,45.3145637512207,20.13258171081543,72.72333526611328,46.275245666503906,58.18549728393555,
2018-01-03,40.26005554199219,69.84937286376953,50.61777114868164,181.0399932861328,49.17044448852539,11.550000190734863,114.27806091308594,60.209999084472656,136.12872314453125,21.317264556884766,88.83679962158203,283.80126953125,24.555095672607422,418.7290954589844,45.122982025146484,56.487396240234375,131.4945526123047,30.325319290161133,42.817657470703125,170.27325439453125,103.76653289794922,30.510997772216797,17.022958755493164,55.76286315917969,89.28662109375,140.47482299804688,79.83395385742188,212.5771026611328,106.68058776855469,58.804203033447266,81.62391662597656,17.577938079833984,226.4589080810547,81.82041931152344,124.81999969482422,53.68326187133789,211.16009521484375,154.59446716308594,115.48486328125,105.4791030883789,37.995582580566406,139.02882385253906,111.82230377197266,85.98881530761719,94.6840591430664,35.17294692993164,138.42364501953125,75.30465698242188,258.07080078125,78.66443634033203,17.15825843811035,142.17982482910156,183.23208618164062,147.45355224609375,52.92679977416992,41.5343132019043,40.73039245605469,79.066162109375,43.868412017822266,30.89402198791504,20.5049991607666,56.91774368286133,26.582000732421875,5.2526140213012695,104.39030456542969,42.059722900390625,91.36227416992188,23.617141723632812,72.1930160522461,50.76607131958008,107.93031311035156,73.79443359375,76.34184265136719,53.21117401123047,151.68177795410156,48.706058502197266,45.907203674316406,10.774999618530273,56.36685562133789,33.22136688232422,110.05310821533203,238.0584716796875,15.553431510925293,35.13118362426758,52.70173263549805,99.56771850585938,192.21783447265625,21.149999618530273,85.64237213134766,,195.11598205566406,113.90584564208984,90.30927276611328,39.39908981323242,59.99629211425781,33.020179748535156,48.748931884765625,29.05146026611328,26.132858276367188,24.012454986572266,66.61170959472656,30.122102737426758,45.29853057861328,19.97442054748535,73.41918182373047,46.48769760131836,59.3282585144043,
2018-01-04,40.44707489013672,69.45101928710938,50.5318603515625,183.22000122070312,49.452823638916016,12.119999885559082,112.60839080810547,60.47949981689453,136.65228271484375,21.32437515258789,90.31439971923828,282.72442626953125,24.876453399658203,424.2568054199219,45.70775604248047,57.18412399291992,133.3004150390625,30.52043914794922,43.311668395996094,168.95089721679688,105.13642883300781,30.597332000732422,16.942394256591797,57.233116149902344,89.00873565673828,141.28024291992188,80.21745300292969,213.9860076904297,106.63308715820312,58.343505859375,81.6386489868164,17.821699142456055,229.9840545654297,83.53343963623047,125.45999908447266,53.87767028808594,214.11126708984375,155.82135009765625,117.04544830322266,107.61541748046875,37.298797607421875,139.39874267578125,111.8143081665039,87.22063446044922,94.85160064697266,35.668331146240234,140.594482421875,75.64075469970703,262.4978942871094,79.2799301147461,17.2367000579834,143.1771697998047,182.89474487304688,149.38095092773438,52.980804443359375,42.20755386352539,41.35306930541992,79.76205444335938,45.721466064453125,30.735279083251953,20.562999725341797,56.881874084472656,26.770000457763672,5.280303478240967,104.20462799072266,42.47404861450195,91.81229400634766,23.66860580444336,72.70330810546875,49.74900817871094,107.93778228759766,73.59269714355469,76.32195281982422,53.28380584716797,151.9471893310547,48.8885612487793,46.165618896484375,10.994999885559082,57.765560150146484,33.07969665527344,106.83399200439453,239.0618896484375,15.698016166687012,35.555885314941406,51.66605758666992,99.5519027709961,194.62403869628906,20.974666595458984,85.53179168701172,,195.962890625,113.28853607177734,90.89509582519531,39.70236587524414,58.96277618408203,33.12723922729492,49.35869598388672,29.0777530670166,26.290597915649414,24.234874725341797,67.09912872314453,30.274368286132812,45.4267692565918,19.808547973632812,73.52355194091797,46.64012145996094,59.41037368774414,
2018-01-05,40.9075813293457,70.6600112915039,50.67789840698242,185.33999633789062,49.73520278930664,11.880000114440918,113.33438110351562,61.457000732421875,137.79754638671875,21.450729370117188,90.52037048339844,294.3223571777344,24.9918155670166,427.87152099609375,45.811378479003906,57.10837936401367,135.4072723388672,30.798086166381836,43.22806167602539,167.7447509765625,106.5358657836914,31.021095275878906,17.222883224487305,59.76225662231445,88.8628158569336,141.88201904296875,80.7203369140625,215.7962646484375,106.05350494384766,58.07419204711914,82.53632354736328,17.966148376464844,230.88702392578125,83.57852935791016,125.33000183105469,54.662715911865234,213.0192108154297,157.448974609375,117.86363220214844,108.14118957519531,37.559051513671875,139.68756103515625,112.7371597290039,86.66070556640625,96.87985229492188,35.66059112548828,141.82493591308594,76.56945037841797,264.87591552734375,80.98966217041016,17.505876541137695,143.46575927734375,185.3951416015625,150.54490661621094,53.48994445800781,42.163177490234375,41.33749771118164,80.7509536743164,44.668148040771484,30.87570571899414,20.999000549316406,57.366058349609375,27.00200080871582,5.325048923492432,104.36378479003906,42.72970962524414,92.07610321044922,23.713647842407227,72.75116729736328,49.70927810668945,108.0721206665039,73.59989166259766,78.28146362304688,53.638877868652344,153.47323608398438,49.452693939208984,46.34381866455078,11.057999610900879,58.160667419433594,33.13636779785156,107.82793426513672,240.6549835205078,15.75585651397705,35.667274475097656,52.215293884277344,99.26761627197266,197.95938110351562,21.10533332824707,86.1873779296875,,199.6996612548828,114.73173522949219,91.17372131347656,39.94788360595703,58.99188232421875,33.05167007446289,49.6912841796875,29.25010108947754,26.280088424682617,24.30330467224121,67.56043243408203,30.592756271362305,45.627132415771484,19.80083656311035,74.14981079101562,47.009613037109375,59.36246871948242,
2018-01-08,40.75563049316406,69.52790832519531,50.5318603515625,185.0399932861328,50.937583923339844,12.279999732971191,114.54427337646484,62.34349822998047,137.94480895996094,21.502065658569336,89.6875228881836,295.57073974609375,24.81877899169922,431.06280517578125,45.82618713378906,56.44196319580078,138.8100128173828,30.377849578857422,43.668846130371094,168.39698791503906,107.28488159179688,31.342824935913086,17.527231216430664,59.24422073364258,89.300537109375,142.5811767578125,81.18055725097656,215.68516540527344,104.53327941894531,58.25847625732422,82.93365478515625,17.884891510009766,233.26605224609375,82.40645599365234,125.30999755859375,54.89630126953125,209.9263153076172,157.0727081298828,117.2272720336914,108.79338836669922,37.559051513671875,139.9041290283203,112.88035583496094,86.7886962890625,97.1444091796875,35.60641098022461,141.7721710205078,76.18029022216797,263.6546936035156,80.10916137695312,17.637800216674805,143.3668212890625,186.81399536132812,150.05682373046875,53.52851486206055,41.91903305053711,41.166259765625,80.83336639404297,44.4243278503418,31.13010597229004,21.204999923706055,57.87712860107422,27.059999465942383,5.488213062286377,104.56710815429688,43.17930603027344,91.54850006103516,23.449871063232422,73.13386535644531,50.28932189941406,108.273681640625,73.52784729003906,78.6296157836914,53.47747802734375,154.0703582763672,49.203819274902344,46.54875946044922,11.234999656677246,59.108951568603516,33.433868408203125,108.5333023071289,241.09506225585938,15.801295280456543,35.85524368286133,52.70958709716797,99.2044677734375,198.28216552734375,22.42733383178711,86.59809112548828,,196.23350524902344,116.32514953613281,92.28105163574219,40.00566101074219,59.29756164550781,32.99497985839844,49.12904739379883,29.68244743347168,26.43782615661621,24.269094467163086,67.8389663696289,30.708118438720703,45.739341735839844,19.985994338989258,73.88018035888672,47.06504440307617,59.62935256958008,
2018-01-09,40.75094985961914,70.05204772949219,50.61777114868164,186.6999969482422,49.97203063964844,11.819999694824219,113.76988983154297,62.6349983215332,138.29653930664062,21.204336166381836,90.01887512207031,303.4615173339844,24.9423770904541,434.685546875,45.78176498413086,57.03266143798828,139.14443969726562,30.475399017333984,44.02603530883789,166.44029235839844,107.57069396972656,31.146648406982422,17.68239402770996,59.183292388916016,88.82115173339844,146.5547637939453,84.04421997070312,216.7354736328125,104.45728302001953,57.578094482421875,82.19784545898438,17.081382751464844,232.4759063720703,83.66869354248047,124.7300033569336,54.862579345703125,211.70196533203125,157.9397430419922,118.18939971923828,109.03300476074219,36.618812561035156,139.7146759033203,114.6703109741211,87.22865295410156,96.29784393310547,35.78444290161133,143.15208435058594,76.11835479736328,265.5428161621094,80.82723236083984,17.610172271728516,143.04531860351562,186.4071502685547,150.9892578125,53.227657318115234,42.02260208129883,41.485382080078125,80.77843475341797,41.908084869384766,30.902156829833984,20.930999755859375,57.46467590332031,27.09000015258789,5.486727714538574,104.71739959716797,43.41826248168945,91.61832427978516,23.424142837524414,72.59967041015625,49.780792236328125,110.34136199951172,73.28289794921875,78.76887512207031,52.670509338378906,154.07980346679688,49.095970153808594,47.52892303466797,11.072999954223633,59.187965393066406,33.01594543457031,106.1478271484375,241.6407012939453,15.760098457336426,36.26601028442383,54.247413635253906,97.87782287597656,201.5882110595703,22.246000289916992,87.1904525756836,,197.21144104003906,117.6265640258789,92.23821258544922,40.280067443847656,58.53335189819336,32.87397384643555,49.303260803222656,29.326051712036133,26.371234893798828,24.457286834716797,68.27417755126953,30.629671096801758,45.67522048950195,19.789264678955078,74.74996948242188,47.15742111206055,59.376155853271484,
2018-01-10,40.741615295410156,69.66768646240234,50.54045104980469,187.11000061035156,48.551029205322266,11.960000038146973,110.9952163696289,62.71649932861328,137.71578979492188,20.756553649902344,90.64575958251953,305.20550537109375,25.173091888427734,432.7560729980469,45.90020751953125,57.29013442993164,138.6762237548828,30.835613250732422,43.81324768066406,165.6630096435547,107.22575378417969,31.31928825378418,17.44965171813965,58.992855072021484,89.39088439941406,145.97071838378906,83.72889709472656,216.56468200683594,104.01072692871094,56.777191162109375,82.41860961914062,17.614051818847656,232.70175170898438,85.33665466308594,125.02999877929688,54.68157196044922,212.027099609375,156.87646484375,119.00758361816406,109.26597595214844,35.6785774230957,139.73269653320312,114.53510284423828,88.18852996826172,93.72283935546875,35.66059112548828,142.9235076904297,76.15371704101562,265.9766845703125,80.50237274169922,17.08338737487793,143.02056884765625,186.3773956298828,150.90162658691406,53.621089935302734,42.39251708984375,41.975738525390625,80.41215515136719,42.239688873291016,30.647768020629883,21.25200080871582,57.58124542236328,27.246000289916992,5.529745101928711,105.33624267578125,43.188167572021484,91.15277862548828,23.46274185180664,72.1371841430664,48.81932830810547,111.68500518798828,73.5422592163086,78.94791412353516,52.66244888305664,153.71966552734375,49.62690734863281,47.724952697753906,11.100000381469727,59.74114227294922,32.5555305480957,105.79515075683594,241.2710723876953,15.394366264343262,36.69767379760742,55.49492263793945,97.7593765258789,201.7739715576172,22.31999969482422,86.64546966552734,,195.74459838867188,116.54203033447266,92.72399139404297,40.583351135253906,57.87826919555664,32.92491912841797,49.98428726196289,29.115724563598633,26.33966827392578,24.662593841552734,68.26547241210938,30.523544311523438,45.4508171081543,19.573240280151367,74.6194839477539,47.12508773803711,58.90399169921875,
2018-01-11,40.97303009033203,69.87177276611328,50.885738372802734,188.9199981689453,48.45994186401367,12.140000343322754,108.86582946777344,63.83399963378906,139.0409393310547,20.809467315673828,90.2069320678711,312.6960144042969,25.263734817504883,437.9256896972656,46.24068832397461,57.22196960449219,141.4602813720703,31.968774795532227,44.97602081298828,169.20111083984375,107.52139282226562,31.468395233154297,17.512313842773438,60.196475982666016,92.10748291015625,148.20082092285156,84.02720642089844,218.26397705078125,105.45492553710938,56.18894577026367,84.72171020507812,17.948095321655273,235.4626922607422,85.74238586425781,125.44000244140625,54.82588577270508,212.6940460205078,159.23208618164062,119.63636016845703,109.27924346923828,36.44251251220703,142.1331024169922,115.18743133544922,88.66046905517578,93.68755340576172,35.63737487792969,143.9693603515625,76.41024017333984,266.0409851074219,81.84452819824219,16.85698699951172,142.9216766357422,186.3079376220703,151.63377380371094,54.19192886352539,42.614471435546875,42.18587875366211,80.65023040771484,41.761810302734375,30.629444122314453,21.724000930786133,57.64400863647461,27.516000747680664,5.539633750915527,105.42462921142578,43.32091522216797,90.68722534179688,23.52064323425293,71.88201141357422,48.98619079589844,113.08084869384766,73.7511978149414,79.32588958740234,52.79961395263672,154.771728515625,49.776241302490234,48.268497467041016,11.11299991607666,60.88695526123047,32.052608489990234,105.69895935058594,243.03146362304688,15.335515022277832,37.01097106933594,58.06057357788086,98.1620864868164,204.09205627441406,22.530000686645508,87.4115982055664,,196.7836151123047,117.08427429199219,95.34589385986328,40.92997360229492,57.6817626953125,33.19245529174805,49.89718246459961,29.217967987060547,26.879505157470703,24.782360076904297,69.13587188720703,30.648128509521484,45.386688232421875,19.49994659423828,74.9413070678711,47.891780853271484,59.48564910888672,
2018-01-12,41.39612579345703,70.6249008178711,50.790771484375,195.0500030517578,48.687660217285156,12.020000457763672,107.27686309814453,65.26000213623047,139.1881866455078,20.871862411499023,90.421875,320.40570068359375,25.70044708251953,452.2621765136719,46.49236297607422,58.19133377075195,142.37997436523438,31.848697662353516,45.63721466064453,171.39894104003906,108.6449203491211,32.07265090942383,17.679412841796875,60.01362991333008,92.8230972290039,149.82923889160156,84.70903778076172,220.22796630859375,106.86111450195312,55.919620513916016,85.13377380371094,17.830724716186523,236.0358123779297,84.57032012939453,126.95999908447266,55.656070709228516,214.27806091308594,160.6551971435547,120.50755310058594,108.57376098632812,36.299808502197266,142.72874450683594,115.95909118652344,90.124267578125,94.61351013183594,35.7225341796875,144.2682342529297,76.93209838867188,270.1545104980469,86.22140502929688,16.802614212036133,143.07005310058594,177.9733428955078,152.98548889160156,55.094486236572266,43.398685455322266,42.901954650878906,82.04200744628906,41.752044677734375,30.59281349182129,22.12299919128418,57.984710693359375,27.63800048828125,5.512439250946045,105.71639251708984,43.81651306152344,91.0751953125,23.50777816772461,71.45144653320312,49.14512252807617,113.3421401977539,75.62432098388672,80.11168670654297,52.75928497314453,155.9091796875,50.10808563232422,49.355594635009766,11.279999732971191,61.61396026611328,31.762182235717773,106.13499450683594,244.61569213867188,15.512072563171387,36.997047424316406,60.257469177246094,98.32794189453125,205.5690155029297,22.4146671295166,89.0307846069336,,199.62110900878906,117.76834106445312,95.79598999023438,41.1466064453125,57.21592330932617,33.03321075439453,49.53291320800781,29.466266632080078,27.1389102935791,25.004777908325195,69.77997589111328,30.828081130981445,45.40272521972656,19.388072967529297,75.515380859375,48.51070785522461,59.88935852050781,
2018-01-16,41.185733795166016,72.13819122314453,50.44548797607422,192.4600067138672,49.64411163330078,11.90999984741211,109.39818572998047,65.24299621582031,136.4068603515625,20.789718627929688,89.85769653320312,319.4051513671875,25.741649627685547,458.34375,44.35316848754883,58.39580154418945,141.5522918701172,31.383434295654297,44.717628479003906,171.12200927734375,107.31444549560547,31.813684463500977,17.345218658447266,60.516414642333984,91.7183837890625,148.27163696289062,84.7772216796875,220.1425323486328,105.16987609863281,55.57943344116211,83.55535125732422,17.442514419555664,234.06488037109375,82.09090423583984,127.16999816894531,55.63126754760742,215.47023010253906,160.56524658203125,119.61363983154297,109.04631042480469,36.21585464477539,140.9058380126953,116.83419799804688,89.80429077148438,94.9398193359375,36.01665496826172,142.4665069580078,75.43730926513672,265.22149658203125,86.31546783447266,16.970190048217773,143.1607208251953,177.0009765625,153.1544189453125,54.60077667236328,45.92152404785156,42.497222900390625,80.89746856689453,41.859317779541016,30.637588500976562,22.152999877929688,56.86394119262695,27.95800018310547,5.441487789154053,105.5572509765625,43.88731384277344,91.44763946533203,23.546375274658203,71.9378433227539,49.37554168701172,114.21983337402344,74.56529235839844,79.99232482910156,55.07527542114258,155.46365356445312,50.24082565307617,49.48033905029297,11.192000389099121,60.98179244995117,31.634687423706055,105.83358764648438,243.7794647216797,15.436403274536133,36.95528030395508,58.81379318237305,98.73855590820312,203.45626831054688,22.67066764831543,89.18875122070312,,203.3404083251953,117.05086517333984,94.93154907226562,41.28382110595703,57.325103759765625,32.90581512451172,49.49330520629883,29.41368293762207,26.79538345336914,24.93634033203125,69.15327453613281,30.708118438720703,45.611114501953125,19.345638275146484,75.88937377929688,48.164306640625,59.51302719116211,
