,AAPL,ABBV,ABT,ADI,AMAT,AMD,AMGN,AMZN,ANET,APH,AVGO,AXP,BA,BAC,BKNG,BLK,BRK-B,BX,C,CAT,CB,COP,COST,CRM,CSCO,CVS,CVX,DE,DELL,DHR,DIA,DIS,ETN,GE,GILD,GLD,GLW,GOOG,GOOGL,GS,HD,HON,IBKR,IBM,INTC,ISRG,IWM,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,META,MO,MRK,MS,MSFT,MU,NEE,NEM,NFLX,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PLD,PM,QCOM,QQQ,RTX,SCHW,SPGI,SPY,STX,T,TJX,TLT,TMO,TMUS,TSLA,TXN,UNH,UNP,V,VNQ,VZ,WDC,WELL,WFC,WMT,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
2018-01-02,40.267066955566406,68.77315521240234,50.50608444213867,77.39031982421875,48.31418228149414,10.979999542236328,136.7425537109375,59.45050048828125,14.439374923706055,20.30228614807129,21.08665657043457,88.29240417480469,282.88641357421875,24.637495040893555,70.0807876586914,414.3572998046875,197.22000122070312,23.04473876953125,56.313201904296875,131.29388427734375,123.60697174072266,42.04248046875,168.2540283203125,102.89927673339844,30.26953125,56.006629943847656,88.64051055908203,139.83770751953125,21.049419403076172,78.7856216430664,211.7829132080078,106.22452545166016,66.82389831542969,81.05406188964844,54.544036865234375,125.1500015258789,26.109848022460938,52.81637954711914,53.22063064575195,212.20899963378906,153.7928924560547,116.44698333740234,14.1290864944458,102.65726470947266,39.330387115478516,125.08333587646484,138.88441467285156,110.13079833984375,85.90128326416016,93.59056854248047,35.2503547668457,137.27230834960938,74.89778900146484,254.2611846923828,78.32249450683594,16.871257781982422,144.8092803955078,141.8197021484375,180.0073699951172,38.34284591674805,41.59349060058594,40.62142562866211,78.69990539550781,42.590789794921875,31.5635986328125,30.138957977294922,20.10700035095215,26.34600067138672,4.92826509475708,41.10761642456055,24.758333206176758,91.60277557373047,23.443437576293945,72.28070831298828,50.861419677734375,68.16303253173828,52.61402893066406,150.22213745117188,66.36861419677734,45.835906982421875,155.9974822998047,236.562255859375,31.194990158081055,15.921098709106445,34.12196350097656,98.70565795898438,188.75540161132812,61.24107360839844,21.368667602539062,83.38343048095703,193.09051513671875,112.68637084960938,107.88825225830078,60.17096710205078,33.71295928955078,56.18205642700195,47.9921760559082,48.376747131347656,28.80023956298828,25.747268676757812,23.884143829345703,66.2548599243164,29.8729190826416,45.314571380615234,20.132583618164062,72.72333526611328,46.275230407714844,58.185489654541016
2018-01-03,40.260066986083984,69.84938049316406,50.617759704589844,78.35038757324219,49.170440673828125,11.550000190734863,139.32286071777344,60.209999084472656,14.725000381469727,20.565889358520508,21.3172607421875,88.83676147460938,283.80126953125,24.55508804321289,71.6282958984375,418.7291259765625,199.7899932861328,23.384885787963867,56.487403869628906,131.49456787109375,124.57979583740234,42.81766891479492,170.27320861816406,103.76654052734375,30.511005401611328,55.762855529785156,89.2866439819336,140.47486877441406,21.271587371826172,79.83393859863281,212.57708740234375,106.68059539794922,69.17961883544922,81.82038879394531,54.956241607666016,124.81999969482422,26.75018882751465,53.68326187133789,54.12862777709961,210.23355102539062,154.59446716308594,115.48484802246094,14.034162521362305,105.47908020019531,37.99558639526367,127.94000244140625,139.02880859375,111.18283081054688,85.98880767822266,94.68406677246094,35.172950744628906,138.4237060546875,75.30464172363281,256.3924255371094,78.6644287109375,17.158260345458984,146.6300506591797,141.22203063964844,183.2321014404297,38.20191955566406,41.53431701660156,40.730403900146484,79.066162109375,43.8684196472168,30.894020080566406,29.886219024658203,20.5049991607666,26.582000732421875,5.252615451812744,42.05971908569336,24.946666717529297,91.36226654052734,23.617137908935547,72.19300842285156,50.76606750488281,68.07813262939453,53.211177825927734,151.68177795410156,67.34215545654297,45.90721893310547,158.50277709960938,238.05853271484375,31.136857986450195,15.553427696228027,33.5079460144043,99.17759704589844,192.2178497314453,60.829864501953125,21.149999618530273,85.64237213134766,195.11602783203125,113.31712341308594,108.96231842041016,59.996299743652344,33.020172119140625,57.0726318359375,48.07461929321289,48.748939514160156,29.051454544067383,26.13286018371582,24.0124568939209,66.61168670654297,30.122100830078125,45.298545837402344,19.97442054748535,73.41918182373047,46.487701416015625,59.32825469970703
2018-01-04,40.44707107543945,69.4510269165039,50.5318603515625,78.26466369628906,49.45283126831055,12.119999885559082,138.73573303222656,60.47949981689453,14.54312515258789,20.49420928955078,21.324373245239258,90.31441497802734,282.724365234375,24.876453399658203,70.96430969238281,424.25677490234375,200.69000244140625,23.569129943847656,57.18412399291992,133.3004150390625,125.08358001708984,43.3116569519043,168.95091247558594,105.13643646240234,30.597326278686523,57.233116149902344,89.00870513916016,141.28021240234375,21.649518966674805,80.21746063232422,213.9859619140625,106.63308715820312,68.4423828125,83.533447265625,54.396812438964844,125.45999908447266,27.022327423095703,53.877662658691406,54.338890075683594,213.1717987060547,155.8213348388672,117.0454330444336,14.131458282470703,107.61544036865234,37.29881286621094,125.63999938964844,139.3988037109375,111.17491912841797,87.22064208984375,94.85161590576172,35.66835403442383,140.594482421875,75.64073181152344,260.79052734375,79.27994537353516,17.236696243286133,148.52700805664062,142.2126922607422,182.89474487304688,38.05015182495117,42.207557678222656,41.353065490722656,79.76207733154297,45.721458435058594,30.735280990600586,30.217939376831055,20.562999725341797,26.770000457763672,5.28030252456665,42.47406005859375,24.876667022705078,91.81231689453125,23.668611526489258,72.70330810546875,49.748985290527344,67.56228637695312,53.28379821777344,151.9471893310547,67.55449676513672,46.165618896484375,160.87818908691406,239.061767578125,30.9842529296875,15.69802474975586,33.56134796142578,99.161865234375,194.62400817871094,60.24652099609375,20.974666595458984,85.53178405761719,195.96292114257812,112.70296478271484,109.3674545288086,58.96274948120117,33.12724685668945,56.727447509765625,47.04026794433594,49.35869598388672,29.07775115966797,26.290603637695312,24.2348690032959,67.09910583496094,30.27437400817871,45.42677688598633,19.808549880981445,73.52354431152344,46.6401252746582,59.41037368774414
2018-01-05,40.90757369995117,70.6600112915039,50.67789840698242,78.58184814453125,49.735206604003906,11.880000114440918,139.5623321533203,61.457000732421875,14.798125267028809,20.74393653869629,21.450725555419922,90.52039337158203,294.3222961425781,24.991811752319336,71.60394287109375,427.8714599609375,201.4199981689453,23.391963958740234,57.1083984375,135.40728759765625,125.30945587158203,43.22805404663086,167.7447509765625,106.5358657836914,31.021087646484375,59.762245178222656,88.86283111572266,141.88197326660156,21.807846069335938,80.72030639648438,215.79624938964844,106.05350494384766,68.96774291992188,83.57855987548828,54.853179931640625,125.33000183105469,26.926288604736328,54.662723541259766,55.05943298339844,212.08447265625,157.44898986816406,117.86365509033203,14.318929672241211,108.14116668701172,37.55905532836914,126.336669921875,139.68756103515625,112.0925064086914,86.66072082519531,96.8798599243164,35.66059112548828,141.82493591308594,76.5694351196289,263.15325927734375,80.98966217041016,17.50588035583496,151.6060333251953,142.49923706054688,185.39512634277344,38.15855407714844,42.16317367553711,41.337493896484375,80.75093841552734,44.66815185546875,30.875709533691406,30.32852554321289,20.999000549316406,27.00200080871582,5.325048446655273,42.7297248840332,25.4950008392334,92.07608795166016,23.71364974975586,72.75115203857422,49.70927810668945,68.1042709350586,53.638877868652344,153.47320556640625,68.13451385498047,46.34383010864258,163.03089904785156,240.65499877929688,31.20225715637207,15.75585651397705,34.326637268066406,98.87869262695312,197.95933532714844,61.77659225463867,21.10533332824707,86.1873550415039,199.69967651367188,114.13873291015625,111.9867172241211,58.991886138916016,33.051666259765625,57.08643341064453,46.74795913696289,49.69129180908203,29.25009536743164,26.280088424682617,24.303308486938477,67.5604476928711,30.592761993408203,45.62712097167969,19.80083465576172,74.1498031616211,47.009620666503906,59.36249923706055
2018-01-08,40.7556266784668,69.52790069580078,50.5318603515625,78.71900177001953,50.93759536743164,12.279999732971191,139.52377319335938,62.34349822998047,15.69124984741211,20.96591567993164,21.502059936523438,89.68753814697266,295.5706787109375,24.818777084350586,72.71403503417969,431.06268310546875,202.74000549316406,23.58329963684082,56.441951751708984,138.80996704101562,124.67534637451172,43.668861389160156,168.3969268798828,107.2848892211914,31.34282875061035,59.24423599243164,89.300537109375,142.58119201660156,21.802734375,81.18055725097656,215.68524169921875,104.53327941894531,69.51007080078125,82.40647888183594,54.76485061645508,125.30999755859375,27.030338287353516,54.896305084228516,55.25382995605469,209.00515747070312,157.07275390625,117.22723388671875,14.456562995910645,108.79342651367188,37.55905532836914,130.6199951171875,139.9041748046875,112.23487091064453,86.7887191772461,97.14441680908203,35.60641860961914,141.77218627929688,76.18025970458984,261.93994140625,80.10916137695312,17.637800216674805,152.06431579589844,142.4010009765625,186.81398010253906,38.109771728515625,41.91902542114258,41.16626739501953,80.8333740234375,44.42433166503906,31.130111694335938,30.296918869018555,21.204999923706055,27.059999465942383,5.488211154937744,43.179325103759766,25.608333587646484,91.54847717285156,23.449871063232422,73.13388061523438,50.28932189941406,67.99978637695312,53.477481842041016,154.0703582763672,68.78179931640625,46.54877471923828,164.4041290283203,241.09506225585938,33.425804138183594,15.801294326782227,33.65923309326172,98.8157958984375,198.28216552734375,62.25473403930664,22.42733383178711,86.59809112548828,196.2335662841797,115.72388458251953,112.4389419555664,59.29757308959961,32.99497985839844,56.22347640991211,46.9128532409668,49.129032135009766,29.682435989379883,26.43782615661621,24.269100189208984,67.83897399902344,30.708106994628906,45.73933410644531,19.98599624633789,73.88016510009766,47.065032958984375,59.629337310791016
2018-01-09,40.750953674316406,70.05204772949219,50.617759704589844,78.55612182617188,49.97203826904297,11.819999694824219,141.67149353027344,62.6349983215332,15.623749732971191,20.998289108276367,21.204330444335938,90.01886749267578,303.46148681640625,24.94237518310547,73.24333953857422,434.685546875,203.02000427246094,23.909271240234375,57.03264617919922,139.14442443847656,126.69062805175781,44.02604293823242,166.4403533935547,107.57069396972656,31.14664649963379,59.183292388916016,88.82115173339844,146.55477905273438,21.521839141845703,84.04424285888672,216.73553466796875,104.45729064941406,69.46771240234375,83.668701171875,57.48836898803711,124.7300033569336,26.93428611755371,54.86258316040039,55.18341064453125,210.7731170654297,157.9397735595703,118.18940734863281,14.857609748840332,109.03301239013672,36.61881637573242,132.53334045410156,139.71461486816406,114.01459503173828,87.22865295410156,96.2978515625,35.784446716308594,143.15208435058594,76.11836242675781,263.81573486328125,80.82721710205078,17.610172271728516,152.28390502929688,142.08168029785156,186.40716552734375,37.70867919921875,42.02259826660156,41.48537826538086,80.77841186523438,41.90808868408203,30.902162551879883,30.099477767944336,20.930999755859375,27.09000015258789,5.486728668212891,43.418270111083984,25.38166618347168,91.61830139160156,23.424142837524414,72.59967041015625,49.7807731628418,68.48950958251953,52.670509338378906,154.0798797607422,69.5326919555664,47.5289192199707,164.45985412597656,241.64071655273438,33.70918655395508,15.760099411010742,33.59248352050781,97.49433898925781,201.5881805419922,62.73288345336914,22.246000289916992,87.19046020507812,197.21145629882812,117.0185546875,112.22225189208984,58.53334045410156,32.873966217041016,55.65737533569336,45.998435974121094,49.303253173828125,29.326061248779297,26.37122917175293,24.457286834716797,68.27418518066406,30.629663467407227,45.67521667480469,19.789262771606445,74.74996185302734,47.15742874145508,59.37614822387695
2018-01-10,40.74159622192383,69.66766357421875,50.54045867919922,77.24456787109375,48.551021575927734,11.960000038146973,141.2697296142578,62.71649932861328,15.767499923706055,20.697690963745117,20.756553649902344,90.64574432373047,305.20550537109375,25.173091888427734,73.54254150390625,432.756103515625,205.61000061035156,24.2210750579834,57.29013442993164,138.67623901367188,126.20417785644531,43.81324768066406,165.66305541992188,107.22575378417969,31.319299697875977,58.99285125732422,89.39086151123047,145.9706573486328,21.606107711791992,83.7288818359375,216.564697265625,104.01072692871094,69.88294219970703,85.33666229248047,57.9373893737793,125.02999877929688,26.67815589904785,54.68156433105469,55.051998138427734,211.09678649902344,156.87643432617188,119.00758361816406,14.748449325561523,109.26592254638672,35.6785774230957,141.25332641601562,139.73272705078125,113.8801498413086,88.18853759765625,93.72283172607422,35.66059112548828,142.9235382080078,76.15374755859375,264.2467041015625,80.50240325927734,17.083389282226562,152.6276092529297,142.05712890625,186.37741088867188,38.098934173583984,42.392520904541016,41.975746154785156,80.41216278076172,42.23968505859375,30.647764205932617,30.28111457824707,21.25200080871582,27.246000289916992,5.529746055603027,43.18815994262695,25.510000228881836,91.15275573730469,23.46274185180664,72.1371841430664,48.8193359375,68.97271728515625,52.66244888305664,153.7196502685547,69.85895538330078,47.72496795654297,162.9473876953125,241.27098083496094,34.203304290771484,15.394366264343262,33.935089111328125,97.37635803222656,201.7739715576172,61.097625732421875,22.31999969482422,86.64546966552734,195.74464416503906,115.93965911865234,112.09976196289062,57.878273010253906,32.924922943115234,55.85758590698242,45.50374221801758,49.984283447265625,29.115726470947266,26.339677810668945,24.662595748901367,68.26548767089844,30.523544311523438,45.450828552246094,19.5732364654541,74.6194839477539,47.125091552734375,58.90399932861328
2018-01-11,40.9730339050293,69.87177276611328,50.88572692871094,78.1703872680664,48.45993423461914,12.140000343322754,140.57444763183594,63.83399963378906,16.299375534057617,20.993669509887695,20.809463500976562,90.2069320678711,312.696044921875,25.263734817504883,74.33533477783203,437.9257507324219,206.69000244140625,24.469085693359375,57.22199630737305,141.46029663085938,125.51791381835938,44.97602462768555,169.20106506347656,107.52140808105469,31.468399047851562,60.196468353271484,92.10746002197266,148.20083618164062,22.173009872436523,84.02720642089844,218.26397705078125,105.45492553710938,71.17094421386719,85.74239349365234,58.19501876831055,125.44000244140625,27.022327423095703,54.82588577270508,55.14671325683594,211.76083374023438,159.23207092285156,119.63636016845703,14.817266464233398,109.27925109863281,36.442527770996094,140.4566650390625,142.13314819335938,114.52875518798828,88.66046905517578,93.68756103515625,35.63737869262695,143.96937561035156,76.41023254394531,264.31060791015625,81.84451293945312,16.856990814208984,153.6396484375,141.9589080810547,186.30796813964844,38.098934173583984,42.614463806152344,42.185890197753906,80.65023040771484,41.76179122924805,30.629451751708984,30.6760311126709,21.724000930786133,27.516000747680664,5.539632797241211,43.32091522216797,25.69333267211914,90.68722534179688,23.520645141601562,71.88201141357422,48.9862060546875,68.46992492675781,52.799625396728516,154.77175903320312,69.90555572509766,48.26849365234375,163.68038940429688,243.03134155273438,35.613006591796875,15.335511207580566,34.20649719238281,97.77750396728516,204.0921173095703,61.04981231689453,22.530000686645508,87.41160583496094,196.78363037109375,116.4791259765625,112.91000366210938,57.68177795410156,33.19245529174805,56.78268051147461,45.099002838134766,49.897186279296875,29.217967987060547,26.8795108795166,24.78236198425293,69.13587188720703,30.648122787475586,45.38669204711914,19.49994468688965,74.9413070678711,47.89180374145508,59.485660552978516
2018-01-12,41.39612579345703,70.6249008178711,50.790771484375,78.88186645507812,48.68766784667969,12.020000457763672,142.9539031982422,65.26000213623047,16.189374923706055,21.23415184020996,20.87186050415039,90.42186737060547,320.4057312011719,25.700450897216797,75.36803436279297,452.2621154785156,210.16000366210938,25.07851791381836,58.191341400146484,142.3799285888672,126.50814056396484,45.63721466064453,171.39892578125,108.64490509033203,32.07265090942383,60.01362609863281,92.82306671142578,149.8292236328125,22.1525821685791,84.70902252197266,220.22787475585938,106.86109924316406,71.38277435302734,84.57029724121094,58.16556167602539,126.95999908447266,27.74271011352539,55.656070709228516,56.069091796875,213.33782958984375,160.65524291992188,120.50756072998047,14.97388744354248,108.57377624511719,36.29979705810547,139.67999267578125,142.72879028320312,115.29601287841797,90.12427520751953,94.61349487304688,35.72252655029297,144.26821899414062,76.93208312988281,268.3974914550781,86.221435546875,16.80261993408203,154.98583984375,142.10626220703125,177.97335815429688,37.730350494384766,43.3986930847168,42.901954650878906,82.04202270507812,41.75204086303711,30.592817306518555,31.426340103149414,22.12299919128418,27.63800048828125,5.512439727783203,43.81651306152344,25.586666107177734,91.07521057128906,23.50777816772461,71.45145416259766,49.145111083984375,68.23483276367188,52.759273529052734,155.90916442871094,70.72893524169922,49.355594635009766,164.83102416992188,244.61575317382812,37.247955322265625,15.512076377868652,34.829402923583984,97.94269561767578,205.56907653808594,60.89680480957031,22.4146671295166,89.03079986572266,199.62110900878906,117.15967559814453,113.14556884765625,57.2159309387207,33.03321075439453,57.38329315185547,44.34197998046875,49.53290939331055,29.46626853942871,27.138914108276367,25.00477409362793,69.77996063232422,30.828088760375977,45.402713775634766,19.38807487487793,75.51536560058594,48.51070785522461,59.889381408691406
2018-01-16,41.18574905395508,72.13821411132812,50.445491790771484,79.80768585205078,49.644107818603516,11.90999984741211,143.34019470214844,65.24299621582031,15.798125267028809,21.106971740722656,20.789722442626953,89.857666015625,319.4051208496094,25.741653442382812,75.37078857421875,458.34356689453125,210.2899932861328,24.81632423400879,58.39580535888672,141.55226135253906,126.53424835205078,44.71763610839844,171.1219940185547,107.314453125,31.813688278198242,60.516422271728516,91.7183837890625,148.27163696289062,21.984039306640625,84.77725219726562,220.14256286621094,105.16989135742188,70.62860870361328,82.09091186523438,59.07096481323242,127.16999816894531,27.542612075805664,55.63126754760742,56.071571350097656,214.52476501464844,160.56524658203125,119.6136245727539,14.81964111328125,109.04634094238281,36.215850830078125,140.02333068847656,140.90582275390625,116.16614532470703,89.8042984008789,94.93981170654297,36.01665496826172,142.4665069580078,75.43732452392578,263.4964904785156,86.31547546386719,16.970191955566406,154.94764709472656,142.19630432128906,177.0009765625,37.356353759765625,45.92152404785156,42.49721908569336,80.89745330810547,41.85932159423828,30.637590408325195,31.592206954956055,22.152999877929688,27.95800018310547,5.441487789154053,43.88731002807617,25.266666412353516,91.4476318359375,23.5463809967041,71.9378433227539,49.37553787231445,68.4764633178711,55.075279235839844,155.46365356445312,69.37734985351562,49.4803466796875,163.15151977539062,243.7794952392578,37.42962646484375,15.43640422821045,34.07747268676758,98.35173797607422,203.4563446044922,60.21783447265625,22.67066764831543,89.1887435913086,203.34043884277344,116.44591522216797,113.42822265625,57.32511901855469,32.905818939208984,57.90797424316406,44.41693878173828,49.493316650390625,29.413700103759766,26.795379638671875,24.93634033203125,69.15326690673828,30.708106994628906,45.61110305786133,19.345640182495117,75.88939666748047,48.164306640625,59.51300811767578
